"id","slug","name","icon"
"1","electrician","Electrician","bolt"
"2","plumber","Plumber","droplet"
"3","epoxy","Epoxy Flooring","layers"
"4","water-filter","Water Filter Service","filter"
"5","landscaping","Landscaping","leaf"
"6","hvac","HVAC","wind"
"7","handyman","Handyman","hammer"
"8","cleaning","Cleaning Service","sparkles"
"9","pest-control","Pest Control","bug"
"10","other","Other","star"
"11","ReFinanace","ReFinanace","wrench"
"12","Decor","Decor","wrench"
"13","Physicians","Physicians","wrench"
"14","painter-2","Painter","star"
"15","blinds","Blinds","star"
"16","table-chair-rental","Table chair rental","star"
"17","garage-door","Garage Door","star"
"18","catering","Catering","star"
"19","priest","Priest","star"
"20","car-dent-repair","Car Dent Repair","star"
