"id","contact_id","author","rating","comment","created_at"
"2","45","AVICHAL AGGARWAL","5","Very good service","2026-08-15T00:35:33.306Z"
"3","14","Subhagupta Vura","4","He is very knowledgeable and asks the links of the product to be installed or fixed. He charges by hour so I need to wait to pool up some tasks before I request his services and hence 4 star. We got ceiling fans , heavy art project , retractable hose installed.","2026-08-15T00:35:39.812Z"
"4","32","Avichal","5","Very good service and quality of the product is also good.","2026-08-15T01:12:27.640Z"
"5","40","Joel","1","","2026-08-15T05:33:56.018Z"
"6","40","Joel","5","","2026-08-15T05:34:16.488Z"
"7","6","AVICHAL ","3","Good work and pricing but Replies are not consistent on whatsapp","2026-08-15T12:43:12.794Z"
"8","1","AVICHAL","5","Good work and good pricing. ","2026-08-15T12:44:38.079Z"
"9","14","AVICHAL","5","Good work but sometimes long wait. Try to schedule with him in advance.","2026-08-15T12:45:31.323Z"
"10","13","Avichal","5","Great professional work","2026-08-15T12:46:01.638Z"
"11","46","Venkat Gundapaneni","5","","2026-08-15T18:17:05.854Z"
"12","46","Ravi Teja Tella","5","","2026-08-15T18:27:36.400Z"
"13","46","Venugopal","5","","2026-08-15T19:36:47.215Z"
"14","40","Venugopal","5","","2026-08-15T19:37:05.350Z"
"15","46","JK","5","","2026-08-15T19:37:21.786Z"
"16","6","Venugopal","5","","2026-08-15T19:42:12.119Z"
"17","46","Prasanth D","5","Good quality zebra blinds.decent pricing and great service.","2026-08-15T20:01:43.922Z"
"18","46","Hari Reddy","5","","2026-08-15T20:47:16.262Z"
"19","46","Anwar","5","I recently had blinds installed by Venkata Suresh and am very pleased with the experience. The blinds are excellent quality, and the service was professional and friendly—all at a great price. Highly recommended!","2026-08-15T23:38:40.995Z"
"20","46","Ravi krishna Mannam","5","","2026-08-16T02:53:57.806Z"
"21","46","Bharat","5","Highly recommend this blinds installation company! They did a great job from start to finish. Communication was excellent throughout the entire process—they were responsive, professional, and kept us informed every step of the way.

The installation was done very neatly and professionally, and the final result met all of our expectations. Everything looks great, and we’re very happy with the quality of their work.

Great service, great communication, and a job well done. Definitely recommend them!","2026-08-16T02:54:54.056Z"
"22","19","Krishna","1","Bait and switch. Dishonest and rude handyman. ","2026-08-16T20:02:06.988Z"
"23","57","Avichal","5","Tasty food. ","2026-08-17T21:19:21.295Z"
"24","53","AVICHAL AGGARWAL","5","Great service so far. ","2026-08-18T14:25:08.125Z"
"25","37","Best rates ","5","","2026-08-18T18:55:14.076Z"
"26","40","Hari","5","","2026-08-22T00:23:54.122Z"
"27","60","Hari Kadiyala","5","Excellent service Absolutely stunning work! The decorations for our event exceeded all of our expectations. The attention to detail, color choices, and overall presentation completely transformed the venue. We received so many compliments from our guests. Highly recommend their services for any special occasion!","2026-08-22T00:28:04.428Z"
"28","56","Krishna Chandra ","5","","2026-08-24T22:54:51.099Z"
"29","28","Nick","5","Thomas did a great job of Polyaspartic coating in our 3 car garage. The polyaspartic coating looks fantastic, and the whole process was smooth and professional. Highly recommend!","2026-09-16T14:05:47.650Z"
